country_code,year,gdp_usd,gdp_growth_pct,inflation_pct,population
USA,2019,21380976119000.0,2.584,1.812,330226227
USA,2020,21060473613000.0,-2.163,1.234,331577720
USA,2021,23315080560000.0,6.055,4.698,332099760
USA,2022,25604848907611.0,2.512,8.003,334017321
USA,2023,27292170793214.4,2.888,4.116,336806231
ZAF,2013,400886013595.57,2.485,5.78,54678791
ZAF,2014,381198869776.11,1.414,6.133,55594838
ZAF,2015,346709790458.56,1.322,4.519,56723537
ZAF,2016,323585509674.48,0.665,6.603,57259551
ZAF,2017,381448814653.46,1.158,5.186,57635162
ZAF,2018,405260723892.52,1.557,4.51,58613001
ZAF,2019,389330032224.27,0.26,4.103,59587885
ZAF,2020,337974655408.06,-6.169,3.232,60562381
ZAF,2021,419986284375.37,4.859,4.619,61502603
ZAF,2022,407596043067.88,2.058,7.04,62378410
ZAF,2023,381440724491.23,0.806,6.075,63212384
